ONS ID,Constituency name,First party,Second party,Con,Lab,LD,BRX,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,other,Of which other winner,q,r
E14000929,Sleaford and North Hykeham,Con,Lab,44683,12118,5355,0,1742,0,0,0,0,0,0,0,2656,0,4,4
E14000930,Slough,Lab,Con,15781,29421,3357,1432,1047,0,0,0,0,0,0,0,0,0,-2,-8
E14000931,Solihull,Con,Lab,32309,11036,9977,0,2022,0,0,0,0,0,0,0,0,0,-2,-4
E14000932,Somerton and Frome,Con,LD,36230,8354,17017,0,3295,0,0,0,0,0,0,0,0,0,-8,-11
E14000955,"Southampton, Itchen",Con,Lab,23952,19454,2503,0,1040,0,0,0,0,0,0,0,472,0,-5,-13
E14000956,"Southampton, Test",Lab,Con,16043,22256,3449,1591,1433,0,0,0,0,0,0,0,222,0,-5,-12
N06000014,South Antrim,DUP,UUP,0,0,0,0,0,0,0,15149,4887,2288,12460,8190,0,0,-15,14
E14000933,South Basildon and East Thurrock,Con,Lab,29973,10051,1957,0,0,0,0,0,0,0,0,0,3316,0,9,-7
E14000934,South Cambridgeshire,Con,LD,31015,7803,28111,0,0,0,0,0,0,0,0,0,0,0,6,-2
E14000935,South Derbyshire,Con,Lab,33502,14167,3924,0,1788,0,0,0,0,0,0,0,0,0,-2,1
E14000936,South Dorset,Con,Lab,30024,12871,5432,0,2246,0,0,0,0,0,0,0,485,0,-9,-15
N06000015,South Down,SF,SDLP,0,0,0,0,0,0,0,7619,16137,14517,3307,6916,1266,0,-13,12
E14000937,South East Cambridgeshire,Con,LD,32187,10492,20697,0,0,0,0,0,0,0,0,0,1009,0,7,-1
E14000938,South East Cornwall,Con,Lab,31807,10836,8650,0,1493,0,0,0,0,0,0,0,869,0,-14,-15
E14000957,Southend West,Con,Lab,27555,13096,5312,0,0,0,0,0,0,0,0,0,574,0,10,-6
E14000939,South Holland and The Deepings,Con,Lab,37338,6500,3225,0,1613,0,0,0,0,0,0,0,503,0,4,3
E14000940,South Leicestershire,Con,Lab,36791,12787,5452,0,2439,0,0,0,0,0,0,0,0,0,1,-2
E14000941,South Norfolk,Con,Lab,36258,14983,8744,0,2499,0,0,0,0,0,0,0,0,0,9,0
E14000942,South Northamptonshire,Con,Lab,41755,13994,7891,0,2634,0,0,0,0,0,0,0,634,0,2,-4
E14000958,Southport,Con,Lab,22914,18767,6499,0,0,0,0,0,0,0,0,0,0,0,-9,9
E14000943,South Ribble,Con,Lab,30028,18829,3720,0,1207,0,0,0,0,0,0,0,0,0,-8,9
E14000944,South Shields,Lab,Con,7688,17273,1514,6446,1303,0,0,0,0,0,0,0,3658,0,0,16
E14000945,South Staffordshire,Con,Lab,36520,8270,3280,0,1935,0,0,0,0,0,0,0,0,0,-6,0
E14000946,South Suffolk,Con,Lab,33270,10373,6702,0,3144,0,0,0,0,0,0,0,0,0,10,-1
E14000947,South Swindon,Con,Lab,26536,19911,4299,0,0,0,0,0,0,0,0,0,0,0,-4,-8
E14000948,South Thanet,Con,Lab,27084,16497,2727,0,1949,0,0,0,0,0,0,0,0,0,13,-11
E14000949,South West Bedfordshire,Con,Lab,32212,13629,5435,0,2031,0,0,0,0,0,0,0,0,0,3,-5
E14000950,South West Devon,Con,Lab,33286,11856,6207,0,2018,0,0,0,0,0,0,0,0,0,-13,-14
E14000951,South West Hertfordshire,Con,Ind,30327,7228,6251,0,1466,0,0,0,0,0,0,0,15919,0,3,-6
E14000952,South West Norfolk,Con,Lab,35507,9312,4166,0,1645,0,0,0,0,0,0,0,836,0,7,0
E14000953,South West Surrey,Con,LD,32191,4775,23374,0,0,0,0,0,0,0,0,0,0,0,-2,-12
E14000954,South West Wiltshire,Con,Lab,33038,11408,8015,0,2434,0,0,0,0,0,0,0,0,0,-7,-11
E14000959,Spelthorne,Con,Lab,29141,10748,7499,0,2122,0,0,0,0,0,0,0,0,0,-1,-11
E14000965,Stafford,Con,Lab,29992,15615,3175,0,2367,0,0,0,0,0,0,0,0,0,-4,0
E14000966,Staffordshire Moorlands,Con,Lab,28192,11764,2469,0,1231,0,0,0,0,0,0,0,0,0,-3,2
E14000960,St Albans,LD,Con,22574,5000,28867,0,1004,0,0,0,0,0,0,0,154,0,6,-5
E14000967,Stalybridge and Hyde,Lab,Con,16079,19025,1827,3591,1411,0,0,0,0,0,0,0,435,0,-4,6
E14000961,St Austell and Newquay,Con,Lab,31273,14747,5861,0,1609,0,0,0,0,0,0,0,2286,0,-15,-15
E14000968,Stevenage,Con,Lab,25328,16766,4132,0,1457,0,0,0,0,0,0,0,0,0,6,-4
E14000962,St Helens North,Lab,Con,12661,24870,2668,5396,1966,0,0,0,0,0,0,0,0,0,-9,5
E14000963,St Helens South and Whiston,Lab,Con,10335,29457,2886,5353,2282,0,0,0,0,0,0,0,0,0,-9,4
S14000057,Stirling,SNP,Con,17641,4275,2867,0,942,26895,0,0,0,0,0,0,0,0,-7,22
E14000964,St Ives,Con,LD,25365,3553,21085,0,964,0,0,0,0,0,0,0,446,0,-16,-16
E14000969,Stockport,Lab,Con,11656,21695,5043,1918,1403,0,0,0,0,0,0,0,0,0,-5,4
E14000970,Stockton North,Lab,Con,16701,17728,1631,3907,0,0,0,0,0,0,0,0,1189,0,0,13
E14000971,Stockton South,Con,Lab,27764,22504,2338,2196,0,0,0,0,0,0,0,0,0,0,0,12
E14000972,Stoke-On-Trent Central,Con,Lab,14557,13887,1116,1691,819,0,0,0,0,0,0,0,0,0,-4,1
E14000973,Stoke-On-Trent North,Con,Lab,20974,14688,1268,2374,508,0,0,0,0,0,0,0,322,0,-4,2
E14000974,Stoke-On-Trent South,Con,Lab,24632,13361,1611,0,0,0,0,0,0,0,0,0,0,0,-3,0
E14000975,Stone,Con,Lab,31687,11742,4412,0,2002,0,0,0,0,0,0,0,0,0,-5,0
E14000976,Stourbridge,Con,Lab,27534,13963,2523,0,1048,0,0,0,0,0,0,0,621,0,-5,-4
N06000016,Strangford,DUP,APNI,1476,0,0,0,790,0,0,17705,555,1994,4023,10634,308,0,-13,13
E14000977,Stratford-On-Avon,Con,LD,33343,6222,13371,0,2112,0,0,0,0,0,0,0,0,0,-3,-6
E14000978,Streatham,Lab,LD,9060,30976,13286,624,2567,0,0,0,0,0,0,0,0,0,4,-13
E14000979,Stretford and Urmston,Lab,Con,13778,30195,2969,1768,1357,0,0,0,0,0,0,0,0,0,-7,4
E14000980,Stroud,Con,Lab,31582,27742,0,1085,4954,0,0,0,0,0,0,0,567,0,-6,-7
E14000981,Suffolk Coastal,Con,Lab,32958,12425,8719,0,2713,0,0,0,0,0,0,0,1493,0,9,1
E14000982,Sunderland Central,Lab,Con,15372,18336,3025,5047,1212,0,0,0,0,0,0,0,484,0,0,15
E14000983,Surrey Heath,Con,LD,34358,5407,16009,0,2252,0,0,0,0,0,0,0,628,0,-1,-10
E14000984,Sutton and Cheam,Con,LD,25235,7200,16884,0,1168,0,0,0,0,0,0,0,0,0,2,-13
E14000985,Sutton Coldfield,Con,Lab,31604,12332,6358,0,2031,0,0,0,0,0,0,0,0,0,-2,-1
W07000048,Swansea East,Lab,Con,9435,17405,1409,2842,583,0,1905,0,0,0,0,0,0,0,-13,-7
W07000047,Swansea West,Lab,Con,10377,18493,2993,1983,0,0,1984,0,0,0,0,0,0,0,-13,-8
E14000986,Tamworth,Con,Lab,30542,10908,2426,0,935,0,0,0,0,0,0,0,1245,0,-1,0
E14000987,Tatton,Con,Lab,28277,10890,7712,0,2088,0,0,0,0,0,0,0,0,0,-6,2
E14000988,Taunton Deane,Con,LD,34164,4715,22464,0,0,0,0,0,0,0,0,0,2390,0,-10,-13
E14000989,Telford,Con,Lab,25546,14605,2674,0,0,0,0,0,0,0,0,0,0,0,-8,-1
E14000990,Tewkesbury,Con,LD,35728,9310,13318,0,2784,0,0,0,0,0,0,0,0,0,-6,-6
E14000991,The Cotswolds,Con,LD,35484,7110,15270,0,3312,0,0,0,0,0,0,0,0,0,-5,-6
E14000992,The Wrekin,Con,Lab,31029,12303,4067,0,1491,0,0,0,0,0,0,0,0,0,-7,0
E14000993,Thirsk and Malton,Con,Lab,35634,10480,6774,0,2263,0,0,0,0,0,0,0,1437,0,1,11
E14000994,Thornbury and Yate,Con,LD,30202,4208,17833,0,0,0,0,0,0,0,0,0,0,0,-8,-7
E14000995,Thurrock,Con,Lab,27795,16313,1510,0,807,0,0,0,0,0,0,0,1042,0,8,-7
E14000996,Tiverton and Honiton,Con,Lab,35893,11654,8807,0,2291,0,0,0,0,0,0,0,968,0,-11,-13
E14000997,Tonbridge and Malling,Con,LD,35784,8286,8843,0,4090,0,0,0,0,0,0,0,0,0,10,-12
E14000998,Tooting,Lab,Con,16504,30811,8305,462,2314,0,0,0,0,0,0,0,77,0,3,-13
E14000999,Torbay,Con,LD,29863,6562,12114,0,1239,0,0,0,0,0,0,0,648,0,-12,-15
W07000053,Torfaen,Lab,Con,11804,15546,1831,5742,812,0,1441,0,0,0,0,0,0,0,-9,-5
E14001000,Torridge and West Devon,Con,LD,35904,10290,10912,0,2077,0,0,0,0,0,0,0,547,0,-14,-13
E14001001,Totnes,Con,LD,27751,8860,15027,0,0,0,0,0,0,0,0,0,544,0,-12,-16
E14001002,Tottenham,Lab,Con,5446,35621,3168,527,1873,0,0,0,0,0,0,0,221,0,4,-8
E14001003,Truro and Falmouth,Con,Lab,27237,22676,7150,0,1714,0,0,0,0,0,0,0,413,0,-15,-16
E14001004,Tunbridge Wells,Con,LD,30119,8098,15474,0,0,0,0,0,0,0,0,0,959,0,10,-13
E14001005,Twickenham,LD,Con,22045,5476,36166,816,0,0,0,0,0,0,0,0,0,0,0,-12
E14001006,Tynemouth,Lab,Con,22071,26928,3791,1963,1281,0,0,0,0,0,0,0,0,0,-1,17
N06000017,Upper Bann,DUP,SF,0,0,0,0,0,0,0,20501,12291,4623,6197,6433,0,0,-16,12
E14001007,Uxbridge and South Ruislip,Con,Lab,25351,18141,3026,0,1090,0,0,0,0,0,0,0,579,0,0,-8
W07000060,Vale Of Clwyd,Con,Lab,17270,15443,1471,1477,0,0,1552,0,0,0,0,0,0,0,-10,0
W07000078,Vale Of Glamorgan,Con,Lab,27305,23743,0,0,3251,0,0,0,0,0,0,0,508,0,-11,-9
E14001008,Vauxhall,Lab,LD,9422,31615,12003,641,2516,0,0,0,0,0,0,0,136,0,5,-12
E14001009,Wakefield,Con,Lab,21283,17925,1772,2725,0,0,0,0,0,0,0,0,1322,0,-1,7
E14001010,Wallasey,Lab,Con,11579,29901,1843,2037,1132,0,0,0,0,0,0,0,0,0,-11,3
E14001011,Walsall North,Con,Lab,23334,11369,1236,0,617,0,0,0,0,0,0,0,0,0,-6,-1
E14001012,Walsall South,Lab,Con,17416,20872,1602,1660,634,0,0,0,0,0,0,0,288,0,-5,-1
E14001013,Walthamstow,Lab,Con,5922,36784,2874,768,1733,0,0,0,0,0,0,0,254,0,5,-8
E14001014,Wansbeck,Lab,Con,16310,17124,2539,3141,1217,0,0,0,0,0,0,0,178,0,-3,17
E14001015,Wantage,Con,LD,34085,10181,21432,0,0,0,0,0,0,0,0,0,1475,0,-2,-6
E14001016,Warley,Lab,Con,10390,21901,1588,2469,891,0,0,0,0,0,0,0,0,0,-5,-3
E14001017,Warrington North,Lab,Con,19102,20611,3071,2626,1257,0,0,0,0,0,0,0,0,0,-8,4
E14001018,Warrington South,Con,Lab,28187,26177,5732,1635,0,0,0,0,0,0,0,0,168,0,-8,3
E14001019,Warwick and Leamington,Lab,Con,22929,23718,4995,807,1536,0,0,0,0,0,0,0,220,0,-1,-5
E14001020,Washington and Sunderland West,Lab,Con,12218,15941,2071,5439,1005,0,0,0,0,0,0,0,839,0,-2,15
E14001021,Watford,Con,Lab,26421,21988,9323,0,0,0,0,0,0,0,0,0,333,0,7,-6
E14001022,Waveney,Con,Lab,31778,13776,2603,0,2727,0,0,0,0,0,0,0,245,0,8,1
E14001023,Wealden,Con,LD,37043,9377,11388,0,3099,0,0,0,0,0,0,0,0,0,11,-13
E14001024,Weaver Vale,Lab,Con,22210,22772,3300,1380,1051,0,0,0,0,0,0,0,0,0,-7,2
E14001025,Wellingborough,Con,Lab,32277,13737,4078,0,1821,0,0,0,0,0,0,0,0,0,4,-1
E14001026,Wells,Con,LD,33336,4304,23345,0,0,0,0,0,0,0,0,0,643,0,-10,-12
E14001027,Welwyn Hatfield,Con,Lab,27394,16439,6602,0,1618,0,0,0,0,0,0,0,0,0,7,-4
